Designator,Qty,Manufacturer,Mfg Part #,DigiKey Part Number,Description,Package/Footprint,Type,Notes
"EMG1:D1, EMG1:D2",2,MCC (Micro Commercial Components),1N4148,1N4148WXTPMSCT-ND,DIODE STANDARD 75V 150MA SOD323,"SC-76, SOD-323",SMD,
"ESP1:C16, ESP1:C17, ESP1:C18, ESP1:C19, PWR1:9VINVBSTBCK1:C12",5,WÃ¼rth Elektronik,885012005024,732-7440-1-ND,CAP CER 6.8PF 16V C0G/NP0 0402,0402 (1005 Metric),SMD,
PWR1:BATCHG1:U1,1,Texas Instruments,BQ21040DBVR,296-47315-1-ND,IC BATT CHG LI-ION 1CELL SOT23-6,SOT-23-6,SMD,
PWR1:BAT1:U2,1,Texas Instruments,BQ29700DSER,296-43985-1-ND,IC BATT PROT LI-ION 1CELL 6WSON,6-WFDFN,SMD,
"ESP1:C12, ESP1:C13",2,KEMET,C0402C150J8HACTU,399-C0402C150J8HACTUCT-ND,CAP CER 15PF 10V X8R 0402,0402 (1005 Metric),SMD,
PWR1:9VINVBSTBCK1:C13,1,KEMET,C0402C224K9PACTU,399-4886-1-ND,CAP CER 0.22UF 6.3V X5R 0402,0402 (1005 Metric),SMD,
"ESP1:C10, ESP1:C14",2,KEMET,C0603C106M9PACTU,399-C0603C106M9PACTUCT-ND,CAP CER 10UF 6.3V X5R 0603,0603 (1608 Metric),SMD,
PWR1:9VINVBSTBCK1:C10,1,KEMET,C0603C472F5GACTU,399-C0603C472F5GACTUCT-ND,CAP CER 4700PF 50V C0G/NP0 0603,0603 (1608 Metric),SMD,
EMG1:U$11,1,KEMET,C0805C103F5GECTU,399-C0805C103F5GECTUCT-ND,CAP CER 0805 10NF 50V C0G 1%,0805 (2012 Metric),SMD,
EMG1:U$10,1,KEMET,C410C105K5R5TA7200,399-C410C105K5R5TA7200CT-ND,CAP CER 1UF 50V X7R AXIAL,Axial,SMD,
"ESP1:C3, ESP1:C5, ESP1:C9, ESP1:C11, ESP1:C15, PWR1:3.3VLDO1:C5, PWR1:3.3VLDO1:C6, PWR1:BATCHG1:C1",8,Samsung Electro-Mechanics,CL03A105MQ3CSNC,1276-1325-1-ND,CAP CER 1UF 6.3V X5R 0201,0201 (0603 Metric),SMD,
"PWR1:9VINVBSTBCK1:C7, PWR1:9VINVBSTBCK1:C8, PWR1:9VINVBSTBCK1:L2, PWR1:9VINVBSTBCK1:L3",4,Samsung Electro-Mechanics,CL10B475KQ8NQNC,1276-2087-1-ND,CAP CER 4.7UF 6.3V X7R 0603,0603 (1608 Metric),SMD,
"PWR1:5VBOOST1:C3, PWR1:5VBOOST1:C4",2,Samsung Electro-Mechanics,CL21A226KQCLRNC,1276-6687-1-ND,CAP CER 22UF 6.3V X5R 0805,0805 (2012 Metric),SMD,
"PWR1:9VINVBSTBCK1:C11, PWR1:9VINVBSTBCK1:C15",2,Samsung Electro-Mechanics,CL32B226KAJNNNE,1276-3392-1-ND,CAP CER 22UF 25V X7R 1210,1210 (3225 Metric),SMD,
PWR1:BAT1:R1,1,TE Connectivity Passive Product,CRG0805F2K2,A106060CT-ND,RES SMD 2.2K OHM 1% 1/8W 0805,0805 (2012 Metric),SMD,
"PWR1:BATCHG1:U$1, TEMP1:U$2",2,Vishay Ametherm,DG103350,570-1178-ND,THERMISTOR NTC 10KOHM 3475K BEAD,"Bead, Glass",SMD,
ESP1:Y1,1,ECS Inc.,ECS-400-10-37B2-CKY-TR,50-ECS-400-10-37B2-CKY-TRCT-ND,CRYSTAL 40.0000MHZ 10PF SMD,"4-SMD, No Lead",SMD,
PWR1:9VINVBSTBCK1:R7,1,Panasonic Electronic Components,ERA-6AEB124V,P120KDACT-ND,RES SMD 120K OHM 0.1% 1/8W 0805,0805 (2012 Metric),SMD,
PWR1:9VINVBSTBCK1:R5,1,Panasonic Electronic Components,ERA-6AEB134V,10-ERA-6AEB134VCT-ND,RES SMD 130K OHM 0.1% 1/8W 0805,0805 (2012 Metric),SMD,
ESP1:U2,1,Espressif Systems,ESP32-S3FN8,1965-ESP32-S3FN8CT-ND,IC RF TXRX+MCU BLE 56QFN,56-VFQFN Exposed Pad,SMD,
PWR1:BAT1:U$7,1,EVVO,FS8205A,5272-FS8205ACT-ND,DUAL N-CHANNEL ENHANCEMENT MODE,SOT-23-6,SMD,
PWR1:9VINVBSTBCK1:C14,1,Murata Electronics,GJM0335C1E7R5BB01D,490-GJM0335C1E7R5BB01DCT-ND,CAP CER 7.5PF 25V C0G/NP0 0201,0201 (0603 Metric),SMD,
"ESP1:C1, ESP1:C4, ESP1:C6, ESP1:C7, ESP1:C8, PWR1:BAT1:C2",6,Murata Electronics,GRM033C70J104KE14D,490-17675-1-ND,CAP CER 0.1UF 6.3V X7S 0201,0201 (0603 Metric),SMD,
PWR1:5VBOOST1:C1,1,Murata Electronics,GRM033R70J103JA01D,490-16599-1-ND,CAP CER 10000PF 6.3V X7R 0201,0201 (0603 Metric),SMD,
ESP1:C2,1,Murata Electronics,GRM033R70J103KA01D,490-1262-1-ND,CAP CER 10000PF 6.3V X7R 0201,0201 (0603 Metric),SMD,
PWR1:9VINVBSTBCK1:R4,1,Susumu,HRG3216P-3000-B-T1,408-HRG3216P-3000-B-T1CT-ND,RES SMD 300 OHM 0.1% 1W 1206,1206 (3216 Metric),SMD,
IMU1:U1,1,TDK InvenSense,ICM-20948,1428-1123-1-ND,IMU ACCEL/GYRO/COMPI2C/SPI 24QFN,24-TFQFN Module Exposed Pad,SMD,
EMG1:U$1,1,Texas Instruments,INA106U-2K5,296-44259-1-ND,IC OPAMP DIFF 1 CIRCUIT 8SOIC,"8-SOIC (0.154"", 3.90mm Width)",SMD,
PWR1:9VINVBSTBCK1:C9,1,KYOCERA AVX,KGM05AR71C103JH,478-KGM05AR71C103JHCT-ND,CAP CER 10000PF 16V X7R 0402,0402 (1005 Metric),SMD,
"ESP1:L1, ESP1:L3, ESP1:L4",3,Murata Electronics,LQP03TN2N0B02D,490-6722-1-ND,FIXED IND 2NH 600MA 150 MOHM SMD,0201 (0603 Metric),SMD,
ESP1:L2,1,Murata Electronics,LQW18AN24NJ00D,490-6878-1-ND,FIXED IND 24NH 500MA 0.21OHM SMD,0603 (1608 Metric),SMD,
"PWR1:BAT1:LED1, PWR1:BATCHG1:LED1",2,Lite-On Inc.,LTST-C170GKT,160-1179-1-ND,LED GREEN CLEAR SMD,0805 (2012 Metric),SMD,
"PWR1:9VINVBSTBCK1:U5, PWR1:9VINVBSTBCK1:U6, USBC1:U1",3,onsemi,MBRM120ET1G,MBRM120ET1GOSCT-ND,DIODE SCHOTTKY 20V 1A POWERMITE,DO-216AA,SMD,
PWR1:3.3VLDO1:U1,1,onsemi,NCP167BMX330TBG,NCP167BMX330TBGOSCT-ND,IC REG LINEAR 3.3V 700MA 4-XDFN,4-XDFN Exposed Pad,SMD,
PWR1:5VBOOST1:L1,1,Delevan,P3519R-102J,P3519R-102JCT-ND,FIXED IND 1UH 3A 33 MOHM SMD,Nonstandard,SMD,
"ESP1:CR1, ESP1:CR2, USBC1:CR2, USBC1:CR3, USBC1:CR4",5,Nexperia USA Inc.,PESD4V0Y1BSFYL,1727-7840-1-ND,TVS DIODE 4VWM 3.7VC DSN0603-2,0201 (0603 Metric),SMD,
"ESP1:SW1, ESP1:SW2",2,C&K,PTS810SJM250SMTR-LFS,CKN10502CT-ND,SWITCH TACTILE SPST-NO 0.05A 16V,,SMD,
PWR1:9VINVBSTBCK1:U$1,1,Rohm Semiconductor,RAF040P01TCL,RAF040P01TCLCT-ND,MOSFET P-CH 12V 4A TUMT3,"3-SMD, Flat Leads",SMD,
"TEMP1:R1, TEMP1:R2",2,YAGEO,RC0603FR-0747KL,311-47.0KHRCT-ND,RES 47K OHM 1% 1/10W 0603,0603 (1608 Metric),SMD,
PWR1:BAT1:R2,1,YAGEO,RC1206JR-07330RL,311-330ERCT-ND,RES 330 OHM 5% 1/4W 1206,1206 (3216 Metric),SMD,
"PWR1:BAT1:R3, PWR1:BATCHG1:R2",2,Susumu,RG1005P-152-B-T5,RG10P1.5KBCT-ND,RES SMD 1.5K OHM 0.1% 1/16W 0402,0402 (1005 Metric),SMD,
"PWR1:BATCHG1:R1, USBC1:R1, USBC1:R2",3,Susumu,RG1608P-4990-B-T5,RG16P499BCT-ND,RES SMD 499 OHM 0.1% 1/10W 0603,0603 (1608 Metric),SMD,
PWR1:9VINVBSTBCK1:R6,1,"KOA Speer Electronics, Inc.",RN73H1JTTD8353F25,2019-RN73H1JTTD8353F25CT-ND,RES 835K OHM 1% 1/10W 0603,0603 (1608 Metric),SMD,
"EMG1:U$9, EMG1:U$14, EMG1:U$17, EMG1:U$19, EMG1:U$20, EMG1:U$21, ESP1:U$1, ESP1:U$2, ESP1:U$3, ESP1:U$4, TEMP1:U$1",11,Stackpole Electronics Inc,RNCF0402BTE10K0,RNCF0402BTE10K0CT-ND,RES SMD 10K OHM 0.1% 1/10W 0402,0402 (1005 Metric),SMD,
"EMG1:U$12, EMG1:U$13, PWR1:5VBOOST1:R3",3,Stackpole Electronics Inc,RNCF0603BKC1M00,RNCF0603BKC1M00CT-ND,RES SMD 1M OHM 0.1% 1/10W 0603,0603 (1608 Metric),SMD,
"EMG1:U$23, EMG1:U$24",2,Stackpole Electronics Inc,RNCF0805DTE82K0,738-RNCF0805DTE82K0CT-ND,RES SMD 82K OHM 0.5% 1/4W 0805,0805 (2012 Metric),SMD,
EMG1:U$25,1,Stackpole Electronics Inc,RNCF1206TKY1K00,RNCF1206TKY1K00CT-ND,RES SMD 1K OHM 0.01% 1/4W 1206,1206 (3216 Metric),SMD,
"EMG1:U$7, EMG1:U$15, EMG1:U$16",3,Stackpole Electronics Inc,RNCS0805BKE150K,738-RNCS0805BKE150KCT-ND,RES 150K OHM 0.1% 1/10W 0805,0805 (2012 Metric),SMD,
PWR1:9VINVBSTBCK1:R8,1,YAGEO,RT1206BRE07900KL,13-RT1206BRE07900KLCT-ND,RES SMD 900K OHM 0.1% 1/4W 1206,1206 (3216 Metric),SMD,
"EMG1:U$8, EMG1:U$26",2,KYOCERA AVX,TAP105J035SCS,478-TAP105J035SCS-ND,CAP TANT 1UF 5% 35V RADIAL,Radial,SMD,
EMG1:TM1,1,Bourns Inc.,TC33X-2-104E,TC33X-104ECT-ND,TRIMMER 100KOHM 0.15W J LEAD TOP,,SMD,
"EMG1:U1, EMG1:U2, EMG1:U3",3,Texas Instruments,TL072HIDR,296-TL072HIDRCT-ND,IC OPAMP JFET 2 CIRCUIT 8SOIC,"8-SOIC (0.154"", 3.90mm Width)",SMD,
PWR1:5VBOOST1:U3,1,Texas Instruments,TPS61232DRCT,296-37990-1-ND,IC REG BOOST 5V 5A 10VSON,10-VFDFN Exposed Pad,SMD,
PWR1:9VINVBSTBCK1:U4,1,Texas Instruments,TPS65130RGER,296-17080-1-ND,IC REG BUCK BOOST ADJ DL 24VQFN,24-VFQFN Exposed Pad,SMD,
USBC1:J1,1,GCT,USB4105-GF-A,2073-USB4105-GF-ACT-ND,CONN RCP USB2.0 TYP C 24P SMD RA,,SMD,
